num,country,description,designation,points,price,region_1,region_2,title,variety,winery,lat,lng
8567,US,"Dark boysenberry, dried lilac and the slightest touch of tar show on the nose of this bottling, one of the first that Foxen has labeled with the new Los Olivos District appellation. Tart plum skins and elderberry show on the sip that is structured by solidly dry tannins accented by flavors of lavender and thyme.",Williamson-Dore Vineyard,93,46,Central Coast,,Foxen 2014 Williamson-Dore Vineyard Syrah,Syrah,Foxen,34.8201921,-120.2302395
8668,US,"The nose on this bottling shows fresh boysenberry and primary grape scents, with lots of sweet rosemary and purple flower nuance. The sip is not overly complicated, with tar at first and then waves of blackberry and boysenberry fruit, lifted by thyme and peppercorns.",Graveyard Vineyard Reserve,88,50,Paso Robles,Central Coast,Graveyard 2014 Graveyard Vineyard Reserve Syrah (Paso Robles),Syrah,Graveyard,35.7180297,-120.6159906
8754,US,"Well built, this feels firm and structured and tastes alive and fruity. Aromas suggest blackberry and dark plum, and it tastes of those fruit too, with a velvety texture. It's medium-bodied, balanced by firm tannins and good acidity, and well-rounded in flavor.",,89,14,Sierra Foothills,Sierra Foothills,Clos du Lac 2011 Syrah (Sierra Foothills),Syrah,Clos du Lac,38.3129303,-120.9663474
8763,US,"Tart red cherry and fresh herb lend a crisp, cool tone to this elegantly composed Syrah. The palate is plush and concentrated in red plum and cherry flavors that are balanced by bristling cranberry acidity. Velvet tannins cap the finish.",,89,35,Finger Lakes,Finger Lakes,Atwater 2011 Syrah (Finger Lakes),Syrah,Atwater,42.4784821,-76.869326
8786,US,"Perfumed and aromatically distinctive wine, it carries notes of juniper, sagebrush, black pepper and cranberry. It's soft and sultry, lighter in feel, narrowing toward the finish.",May's Discovery Vineyard,89,35,Wahluke Slope,Columbia Valley,Two Vintners 2011 May's Discovery Vineyard Syrah (Wahluke Slope),Syrah,Two Vintners,47.762225,-122.1497034
8831,US,"Les Collines is one of the most exciting Syrah vineyards in the state and this wine, which all comes from Block 30 and saw only neutral barrels, expresses this site exquisitely. It opens with aromas of violets, rubbed herb, smoked meat and purple fruit. The palate brings a mesmerizing sense of purity, with mouth-coating seamless fruit and savory flavors. It drinks well on its own but is really designed for the dinner table.",Damavian Les Collines Vineyard,93,45,Walla Walla Valley (WA),Columbia Valley,W.T. Vintners 2014 Damavian Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,W.T. Vintners,47.7687289,-122.1501366
8856,US,"This is a cool-climate expression of Syrah from a biodynamically farmed vineyard west of the Sta. Rita Hills. The nose shows extreme tar, beef char, cracked black pepper and bay leaf, with gamy undertones. The tightly wound palate combines dusty elderberry with charcoal, more pepper and a lavender-rosemary flash on the finish.",Duvarita Vineyard,93,42,Santa Barbara County,Central Coast,Carucci 2013 Duvarita Vineyard Syrah (Santa Barbara County),Syrah,Carucci,34.6659038,-120.1152105
8860,US,"Aromas of pomegranate, black fruit, herb and barrel spice lead to rich seamless palate-coating dark-fruit flavors. It's hedonistic but retains a sense of balance along with an unabashed deliciousness.",The Hidden Northridge Vineyard,95,70,Wahluke Slope,Columbia Valley,K Vintners 2013 The Hidden Northridge Vineyard Syrah (Wahluke Slope),Syrah,K Vintners,46.0854763,-118.2503954
8872,US,"Black in the glass and dense with aromas of cooked blueberry, vanilla, maple syrup, brown sugar, tar, fudge and fresh purple flowers, this wine takes ripeness and concentration to impressive heights. Lavish on the palate with sticky, grippy tannins, the flavors of blueberry fudge, cola, black pepper and lavender are bold and delicious.",Nuts & Bolts,95,47,California,California Other,Herman Story 2014 Nuts & Bolts Syrah (California),Syrah,Herman Story,35.62736,-120.685878
8932,Australia,"Dark and rich, with aromas of cola and coffee and flavors of plum and cola. This is full-bodied, its 14.5% alcohol balanced by fruit intensity and richly textured tannins and the long finish. Drink 2010–2020.",D Block Reserve,91,50,McLaren Vale,,Shingleback 2005 D Block Reserve Shiraz (McLaren Vale),Shiraz,Shingleback,-35.2064563,138.5256391
8937,Australia,"A dark and hearty McLaren Vale Shiraz, with plenty of weight and tannin and concentrated cola, black olive and leather flavors. Hints of mulberry, cedar and vanilla lighten it just enough, but this wine could use another few years before entering its prime drinking window. Finishes long and richly tannic. Drink 2010–2020.",Lloyd Reserve,91,75,McLaren Vale,,Coriole 2005 Lloyd Reserve Shiraz (McLaren Vale),Shiraz,Coriole,-35.180719,138.548874
8952,Italy,"A pure expression of Syrah, this opens with toasted notes of almond and spice, backed by dark fruit and prune notes. It shows a plush, creamy consistency, with a spicy oak note as well.",Il Lemos,89,,Salento,,Leone de Castris 2008 Il Lemos Syrah (Salento),Syrah,Leone de Castris,40.382458,17.965874
8973,US,"With the fruit coming from Pepper Bridge, Seven Hills and Yellow Jacket vineyards, this winery's inaugural Walla Walla Valley release displays complex aromas of coffee, smoked meat, mineral, blueberries, violets and licorice. The dark coffee flavors are concentrated and dense, coming in waves and leading to an extended finish.",Voyageur,93,55,Walla Walla Valley (WA),Columbia Valley,Maison Bleue 2012 Voyageur Syrah (Walla Walla Valley (WA)),Syrah,Maison Bleue,46.0674441,-118.3398067
9058,Chile,"Cool mint, blueberry and raisin aromas are lush and smooth, but charred oak is roaring loud on the nose of this dry-farmed Syrah. Punchy, short acidity makes the mouthfeel abrupt. Dark chocolate and ripe berry flavors end with hard-spiced blackberry and an everlasting burnt-oak character.",Secano Dry Farmed,89,40,,,Polkura 2014 Secano Dry Farmed Syrah (Marchigue),Syrah,Polkura,35.9494924,-79.058975
9075,US,"Impressively thick and dark for Joey Tensley's new entry-level brand, this wine's deep and dark aromas of slate-flecked soil makes for a very earthy impression on the nose, along with expected hints of tar, purple flowers and boysenberry. Condensed cassis flavors show on the sip along with hints of lavender and blueberry, laced together by soft tannins and an upright acidity.",,89,18,Central Coast,Central Coast,Tensley 2015 Syrah (Central Coast),Syrah,Tensley,34.665687,-120.114703
9095,US,"Deliciously bright and spicy, its cranberry and raspberry fruit is highlighted with pepper and cinnamon. With more breathing time it fleshes out, fills in with pretty pie cherry flavors and some pleasing toastiness.",Three Legged Red,88,17,Columbia Valley (WA),Columbia Valley,Dunham 2007 Three Legged Red Syrah (Columbia Valley (WA)),Syrah,Dunham,46.089097,-118.2783669
9116,US,"A palate-pleasing mix of juicy boysenberry fruit, red licorice and bright spice, this quickly comes into focus. Concentrated and mouth-filling, it's a straightforward Syrah with an emphasis on fruit rather than funk.",,90,35,Columbia Valley (WA),Columbia Valley,Swiftwater Cellars 2011 Syrah (Columbia Valley (WA)),Syrah,Swiftwater Cellars,47.20824,-120.996962
9129,US,"From young vines, this wine offers up pretty scents of rose petals and lightly peppery strawberries. Just 5% Mourvèdre was included, but its presence brings a dash of extra spice and herb.",,90,25,Red Mountain,Columbia Valley,Kiona 2012 Syrah (Red Mountain),Syrah,Kiona,46.2768423,-119.4528634
9165,US,"Billy Wathen and Dick Dore pick this cofermented blend of 85% Syrah and 15% Viognier together on the same day. The result is very savory, with resinous herbs and root beer on the nose. Once sipped, a rainbow of dark flavors emerges: chopped Italian herbs, creosote, black olive, fennel, soy and orange pith, reminiscent of a North African tagine.",Toasted Rope,92,44,Santa Ynez Valley,Central Coast,Foxen 2012 Toasted Rope Syrah (Santa Ynez Valley),Syrah,Foxen,34.8201921,-120.2302395
9173,US,"Pleasantly dank aromas of smoldering pine needles, leather and gamy meats hit the nose on this 2% Viognier coferment. Flavors are reminiscent of roasted wild boar, with dark chocolate, creosote and beef crust, presented against grippy tannins.",Toasted Slope Estate,92,42,Paso Robles,Central Coast,Alta Colina 2011 Toasted Slope Estate Syrah (Paso Robles),Syrah,Alta Colina,35.650182,-120.7449239
9189,US,"Too sharp in texture, with a cut of acidity that emphasizes the white pepper, and seems to bring out some greenness. Other than that, you'll find a smoothly tannic wine, with blackberry and currant fruit.",Axiom Alegría Vineyards,86,33,Russian River Valley,Sonoma,Acorn 2008 Axiom Alegría Vineyards Syrah (Russian River Valley),Syrah,Acorn,38.583993,-122.842383
9206,US,"At the moment the pleasant fruit seems completely overmatched by the heavily charred, smoky barrel flavors. Even after substantial breathing time the fruit failed to fill out, and the finish turned a bit watery and slightly bitter.",Francisca's Vineyard Princess,86,52,Walla Walla Valley (WA),Columbia Valley,Bergevin Lane 2008 Francisca's Vineyard Princess Syrah (Walla Walla Valley (WA)),Syrah,Bergevin Lane,46.0687036,-118.3380734
9239,US,"This is a vibrant take on the grape, with fresh-pressed boysenberry and wisteria aromas merging with rosemary, fennel and sarsaparilla on the nose. Food friendly, it shows more boysenberry, thyme, white pepper, and floral freshness on the palate.",Mesa Del Sol,91,30,Arroyo Seco,Central Coast,DeTierra Vineyards 2014 Mesa Del Sol Syrah (Arroyo Seco),Syrah,DeTierra Vineyards,35.3640194,-89.3454676
9251,Australia,"This doesn't appear to be the strongest recent vintage of this wine, but it remains a benchmark for McLaren Vale Shiraz. Hints of vanilla and tobacco leaf add nuance to a mix of berries ranging from red raspberry to black currant, but there's also a hint of bruised fruit and a green toughness to the tannins. Give it some time in the cellar. Drink 2020–2030.",Amery Vineyard Block 6,91,120,McLaren Vale,,Kay Brothers 2014 Amery Vineyard Block 6 Shiraz (McLaren Vale),Shiraz,Kay Brothers,-35.1828373,138.5618334
9280,US,"Boysenberry, violets and a touch of bacon fat show on the nose of this wine from a vineyard on Paso's Eastside. The palate is upright in both tannins and searing acidity, with flavors of tart blueberry and black peppercorn.",Steinbeck Vineyard,86,26,Paso Robles,Central Coast,Eberle 2013 Steinbeck Vineyard Syrah (Paso Robles),Syrah,Eberle,35.6498338,-120.6281877
9299,France,"All of LVV's 2011 Saint-Joseph's are impressive. This one is fuller bodied and more lushly textured than the others while still showing intense Syrah character. Blueberry fruit and hickory smoke mark the nose, while the palate reveals remarkable nuances of crushed stone yet ends long and velvety. Drink now–2020.",L'Arzelle,92,49,Saint-Joseph,,Les Vins de Vienne 2011 L'Arzelle  (Saint-Joseph),Syrah,Les Vins de Vienne,45.4320509,4.7527245
9328,US,"Pure Syrah, this is young, spicy and crisp, with blue plum, red licorice and a streak of dark chocolate. It has a light suggestion of the gamy, cured meat character that typifies Syrah. This marks a good start for such young (second leaf) vines.",,89,35,Rogue Valley,Southern Oregon,Ledger David 2011 Syrah (Rogue Valley),Syrah,Ledger David,42.375939,-122.920096
9382,US,"It's the stem inclusion that shows itself first, with aromas of olive and herb in front of violets, red fruit, pepper, earth and whiffs of coffee and smoked meat. The flavors are reserved, supple and polished, with bright acids keeping it all in focus. It demands food alongside it to be properly appreciated.",John Lewis,93,85,Walla Walla Valley (WA),Columbia Valley,Gramercy 2013 John Lewis Syrah (Walla Walla Valley (WA)),Syrah,Gramercy,46.0670236,-118.35699
9441,US,"The aromas of embers, black pepper, dark fruit, herbs, smoke and spice are brooding and locked up on first pour, showing more on each swirl. The blue and black-fruit flavors are ripe, sweet and full, with savory notes fleshing out the crazy long finish.",Eleni Red Willow Vineyard,92,54,Yakima Valley,Columbia Valley,Efeste 2013 Eleni Red Willow Vineyard Syrah (Yakima Valley),Syrah,Efeste,47.7714517,-122.1457261
9453,US,"Aromas of green herbs, flowers, earth and mineral start out quite brooding. The smoked meat and savory flavors are very pretty, showing a light touch. The finish lingers.",The Stones Speak,92,55,Walla Walla Valley (WA),Columbia Valley,Saviah 2012 The Stones Speak Syrah (Walla Walla Valley (WA)),Syrah,Saviah,46.005077,-118.382599
9460,US,"Typically the most forward of the winery's offerings, this wine brings aromas of blue fruit along with notes of fire pit, olive, mineral and cured meat that become more prominent over time. The blue and black-fruit flavors are dense and focused, with a firm backbone of tannins providing support. It needs time in the cellar to stretch its legs.",Ceidleigh,91,39,Red Mountain,Columbia Valley,Efeste 2013 Ceidleigh Syrah (Red Mountain),Syrah,Efeste,47.7714517,-122.1457261
9467,Chile,"Aromas of mineral, smoke and floral black fruit are attractive, while the palate is focused and nimble, with red fruit, rhubarb and herbal notes. There's a wild, rather natural character to this wine along with a solid finish that brings herb flavors and medium tannic bite.",Nimbus Estate Single Vineyard,87,12,,,Viña Casablanca 2007 Nimbus Estate Single Vineyard Syrah (Casablanca Valley),Syrah,Viña Casablanca,-33.3174912,-71.4349889
9520,US,"There's a lot to like in this soft, juicy wine, bright in red fruit and notable in its gentle texture. Quietly powerful and full-bodied without being overdone, it has balance and elegance, with a meaty underbrush.",,92,35,Napa Valley,Napa,Havens 2014 Syrah (Napa Valley),Syrah,Havens,38.3012981,-122.2874313
9534,US,"Sultry blackberry, tobacco leaf, caramel and black pepper spice show on the nose of this well-integrated, brooding but fresh nose. The palate is rich, flavorful and vivacious, with lilac, lavender, boysenberry and olallieberry deepening into tar, char and smoked meats.",Zayante Vineyard,92,35,Santa Cruz Mountains,Central Coast,Beauregard 2012 Zayante Vineyard Syrah (Santa Cruz Mountains),Syrah,Beauregard,37.0419444,-122.1502778
9561,US,"This bottling from Santa Barbara County's oldest Syrah planting is always like tasting history. Aromas of roasted coffee beans and charred wood meet with pressed blackberry, vanilla and caramel on the nose. The palate combines tart black-plum skins with charred meat, more roasted coffee and lots of cocoa dust, with riper hints of fig and blueberry fruit arising toward the finish.",Black Bear Block,93,68,Santa Ynez Valley,Central Coast,Zaca Mesa 2014 Black Bear Block Syrah (Santa Ynez Valley),Syrah,Zaca Mesa,34.7720598,-120.1332689
9634,US,"Ripe aromas of blueberry, acai fruit and grape candy get touched by smoked meat, crushed herbs and a slight mint. Leather and tar flavors emerge on the palate, but the fruits and spice characteristics are wound up in incredibly firm, mouth-drying tannins, which are overwhelming right now.",Red Cloud,85,25,Paso Robles,Central Coast,Wild Coyote 2012 Red Cloud Syrah (Paso Robles),Syrah,Wild Coyote,35.6576632,-120.762024
9690,Argentina,"Savory, baked cassis and blackberry aromas show form and solidity, while the palate is deep and a little soft, with lush, slightly roasted berry and black currant aromas. Chocolaty on the finish yet not too heavy or forced. Not all that Syrah-like but it still smells and tastes good.",Reserve,86,11,Mendoza,,Trivento 2008 Reserve Syrah (Mendoza),Syrah,Trivento,-33.0203535,-68.7736875
9718,US,"This smells toasty, spicy and nicely oaky. Rich and plummy, it tastes blackberry-like, jammy and opulent with hints of clove and cassis. Stylish and polished, it's big in flavors and full in body, with soft tannins. It's a sophisticated wine that offers plenty of enjoyment.",,90,40,Amador County,Sierra Foothills,Renwood 2012 Syrah (Amador County),Syrah,Renwood,38.5417521,-120.7950854
9723,US,"Aromas of café au lait, woodspice and dark fruit lead to full-bodied, hedonistic coffee flavors. The style is rich, mixing fruit and barrel.",,90,24,Walla Walla Valley (OR),Oregon Other,Watermill 2012 Syrah (Walla Walla Valley (OR)),Syrah,Watermill,45.9379787,-118.391477
9727,US,"This Rocks District offering has aromas of black pepper and stems, seeming a bit locked up at the moment. Flavors are palate-staining with smoked meat and assorted herbs along with a lightly tacky feel.",Stoney Vine Vineyard,90,45,Walla Walla Valley (OR),Oregon Other,W.T. Vintners 2013 Stoney Vine Vineyard Syrah (Walla Walla Valley (OR)),Syrah,W.T. Vintners,47.7687289,-122.1501366
9744,Argentina,"Initial aromas of jammy black fruits and cardamom yield to cheesy oak as this airs out. A plump wide palate is blocky, while gamy notes of animal hide, cassis, plum and oak form the flavor profile. A lingering exotic taste of blueberry centers a mild finish.",Monteagrelo,89,27,Mendoza,,Bressia 2014 Monteagrelo Syrah (Mendoza),Syrah,Bressia,-33.1091024,-68.8979385
9747,US,"Dried berry, leather, cola, and herb notes show on the nose of this bottling from the mountains between the Conejo Valley and Malibu Coast. The flavors are savory at first—all crushed anise and mint—but grow fruitier as it opens, suggesting dark strawberry, blueberry, vanilla and clove. Quite quaffable.",Malibu Estate,89,100,Saddle Rock-Malibu,South Coast,Cielo 2012 Malibu Estate Syrah (Saddle Rock-Malibu),Syrah,Cielo,38.6932666,-120.9427949
9801,US,"From Montemaggiore Vineyard on the western hills of the appellation, and containing 5% Viognier, this is a well-made wine, nicely rustic in a dirty, rowdy mix of black pepper and earth. Dense, thick layers of cocoa play with floral notes of lavender and rose, finishing softly. This will age well through 2023.",Dragon's Kiss,93,35,Dry Creek Valley,Sonoma,Spicy Vines 2013 Dragon's Kiss Syrah (Dry Creek Valley),Syrah,Spicy Vines,38.6132703,-122.8719066
9804,US,"From the winery's dry-farmed vineyard comes this bottling with seamlessly integrated aromas of boysenberry, black-pepper sauce and black sesame. A tarry character kicks off the palate and then evolves into roasted lamb with lavender-pepper crust, dried mint and tarragon flavors. A soft and deftly sewn acidity hums throughout the sip.",Tinaquaic Vineyard,93,48,Santa Maria Valley,Central Coast,Foxen 2013 Tinaquaic Vineyard Syrah (Santa Maria Valley),Syrah,Foxen,34.8201921,-120.2302395
9808,Australia,"It will be interesting to see if the release of this luxury-level Shiraz (the second vintage) has any impact on the perception of Casella's other brands: Yellow Tail and Peter Lehmann. Even at nine years of age, this is impressively dark and intense, with minty notes, cedar and vanilla and meaty, umami-like flavors that linger on the long, silky finish. Drink now.",1919,93,100,Wrattonbully,,Casella 2007 1919 Shiraz (Wrattonbully),Shiraz,Casella,40.4696781,-81.3026107
9819,US,"Dense and chewy at first, this deliciously brooding wine is all about black licorice, berry and meat. Contoured layers of integrated tannin give it an understated elegance and sense of class despite its wild power and body.",Great Oak Vineyard,93,32,Russian River Valley,Sonoma,Joseph Swan Vineyards 2010 Great Oak Vineyard Syrah (Russian River Valley),Syrah,Joseph Swan Vineyards,38.483276,-122.8493168
9938,US,"Kunde has nailed this price point for Syrah. It's rich and complex enough to put on the table beside a fine meal, and while it's not quite in the league of a cult Syrah, on the other hand it won't demand all the attention. Dry and finely tannic, it features flavors of blackberries, cherries, leather, mocha, tobacco, pepper and sage, and finishes long and spicy.",,90,22,Sonoma Valley,Sonoma,Kunde 2004 Syrah (Sonoma Valley),Syrah,Kunde,38.412206,-122.5398302
9972,Italy,"Aromas of smoke, bacon, mature black-skinned fruit and allspice waft out of the glass. The aromas follow through to the dense, monolithic palate, along with oak extract, vanilla, and a confectionary note.",Kaid,87,29,Sicilia,,Alessandro di Camporeale 2011 Kaid Syrah (Sicilia),Syrah,Alessandro di Camporeale,37.8941226,13.1138329
10042,US,"Ripely opulent, it's explosive in blackberry jam and red currants, with the grilled meat bone and black pepper notes of a cool-climate Syrah. The tannins are strong, but finely ground, while the acids will cut right through meat fat. Give this lovely young wine until 2016–2017 in the cellar.",Samantha's Vineyard,89,40,Russian River Valley,Sonoma,MacLaren 2011 Samantha's Vineyard Syrah (Russian River Valley),Syrah,MacLaren,38.4278115,-122.555768
10075,US,"Dried blueberry, leather, soy and pepper notes show on the nose of this bottling from the region's Syrah pioneer. The palate is very dry and brimming with deep purple flower, black fruit and herb flavors.",,88,25,Santa Ynez Valley,Central Coast,Zaca Mesa 2013 Syrah (Santa Ynez Valley),Syrah,Zaca Mesa,34.7720598,-120.1332689
10122,US,"From husband-and-wife team in California redwood country, comes this interesting Syrah, sourced from dry-farmed estate vines. Smelling of cedar pine and red fruit, it's very savory, full of pepper and leather, dark coffee and espresso. Lay it down another year or so to tame its wild soul.",,86,24,Humboldt County,North Coast,Cabot Vineyards 2007 Syrah (Humboldt County),Syrah,Cabot Vineyards,40.78135,-79.7251129
10141,Italy,"A great value wine, this fruity Syrah opens with bright blueberry, cherry and plum woven between subtle nuances of leather, spice and smoked bacon.",Sallier de la Tour,86,11,Sicilia,,Tasca d'Almerita 2009 Sallier de la Tour Syrah (Sicilia),Syrah,Tasca d'Almerita,38.1016773,13.3289357
10174,US,"Co-fermented with Viognier (for the first time at Ste. Michelle), this aims for a brighter, softer style of Syrah. It's plenty soft, pleasantly accessible, and lightly toasty. The smoothness seems to have eliminated some of the brightness, the hills and valleys that make Syrah so distinctive in Washington.",,87,13,Columbia Valley (WA),Columbia Valley,Chateau Ste. Michelle 2008 Syrah (Columbia Valley (WA)),Syrah,Chateau Ste. Michelle,47.7298044,-122.1493133
10175,US,"A big and oaky style, liquorous and full-flavored from the start. This is spot-on varietally, the fruit sourced from the Zerba Vineyards, and has a nice run through the midpalate with purple berry fruits and plenty of new oak. It turns a little chalky in the finish.",,87,40,Walla Walla Valley (WA),Columbia Valley,Chateau Walla Walla 2008 Syrah (Walla Walla Valley (WA)),Syrah,Chateau Walla Walla,46.0672954,-118.3384066
10176,US,"Pleasant red fruits awash in chocolaty oak craft an accessible, broadly open Syrah. Though it seems a bit generic, it is balanced and tasty; a good bottle for near-term drinking with simple grilled meats.",,87,28,Columbia Valley (WA),Columbia Valley,Coeur d'Alene 2008 Syrah (Columbia Valley (WA)),Syrah,Coeur d'Alene,47.712147,-116.799609
10227,Italy,"Blueberry, blackberry, black cherry and ground black pepper aromas lead the nose and carry through to the full-bodied palate together with notes of clove, tobacco and mint. It's balanced with firm, velvety tannins and bright acidity. Drink 2016–2019.",Perbruno,91,55,Toscana,,I Giusti e Zanza 2013 Perbruno Syrah (Toscana),Syrah,I Giusti e Zanza,43.5782366,10.5246916
10235,US,"Grown in a rather cool part of the Applegate Valley AVA, this offers aromatics of cured meat, peppery herb and a dash of iron ore. The fruit leans toward black cherry, and streaks of coffee and cola add to the complex finish. Drink now through 2025.",Papa Joe's Private Stash,91,25,Applegate Valley,Southern Oregon,Plaisance Ranch 2012 Papa Joe's Private Stash Syrah (Applegate Valley),Syrah,Plaisance Ranch,42.2419546,-123.2720098
10279,US,"Tannic and brooding in its big-boned structure, this high-elevation-grown Syrah will please Cabernet Sauvignon drinkers in its upfront oak and herb overtones. But it remains true to its varietal roots, offering bright Bing cherry, black plum and licorice, complete with loads of earthiness and ground pepper.",Canterbury Vineyard,88,36,Sierra Foothills,Sierra Foothills,Bell 2008 Canterbury Vineyard Syrah (Sierra Foothills),Syrah,Bell,38.3906149,-122.3447481
10280,US,"Power marks this gigantic Syrah. What it lacks in subtlety, it makes up for with its sheer size. Syrah doesn't get much riper in blackberry, cherry and chocolate flavors. With its thick, rich tannins, drink it soon with beef and game dishes.",Vivio Vineyard,88,40,Bennett Valley,Sonoma,Bodega Rancho 2009 Vivio Vineyard Syrah (Bennett Valley),Syrah,Bodega Rancho,33.501402,-117.6635811
10309,US,"A rich, robust Syrah, impressive for sheer volume and intensity. Floods the mouth with ripe flavors of blackberries, cassis, chocolate, smoked meats, black pepper and cedar. High in alcohol, which will alarm purists, and there's some burn on the finish. The wine calls for richly slathered barbecue.",Estate,91,42,Sta. Rita Hills,Central Coast,Zotovich Cellars 2008 Estate Syrah (Sta. Rita Hills),Syrah,Zotovich Cellars,34.6430616,-120.4352374
10328,US,"A tough, tannic young wine that will benefit from two or three years in the bottle, but probably no more. It's bone dry and astringent now, with an intense core of blackberries, grilled meat and black pepper. Give it a few hours in a decanter before pouring.",Kobler Family Vineyard,90,45,Green Valley,Sonoma,Donelan 2008 Kobler Family Vineyard Syrah (Green Valley),Syrah,Donelan,38.4718027,-122.7435125
10418,US,"This is a very solid, well-structured and deeply flavorful wine from the first whiff of blackberries and black pepper to the mouth-coating but dry flavors to the lingering spicy finish. Best to drink after 2018.",DTR Ranch,91,40,Fiddletown,Sierra Foothills,Terre Rouge 2013 DTR Ranch Syrah (Fiddletown),Syrah,Terre Rouge,38.5203975,-120.8238467
10477,Greece,"Black pepper, crushed herbs and red raspberry fruit aromas give this elegant red a place at the dinner table. Red fruit, cedar and vanilla on the palate are balanced with soft acidity. Pair with smoked fish, cheeses and lamb.",Red Symmetry,90,13,,,Zacharias 2010 Red Symmetry Syrah (Peloponnese),Syrah,Zacharias,37.837046,22.6504975
10514,US,"Very strongly flavored, and needs a salty cut of meat to tame its powers. Explodes with jammy blackberries, blueberries, cherries and raspberries, with a monster blast of black pepper. Bring on the sausages.",Ex Anima,88,25,Monterey,Central Coast,Wrath 2010 Ex Anima Syrah (Monterey),Syrah,Wrath,36.409207,-121.385207
10534,US,"The reliable négociant winery scores once again on this bottling, which shows intriguing aromas of smoked plums, hoisin-marinated pork, cocoa powder, crushed pepper and ollallieberries. It's delicious once sipped, with pepper, boysenberries and a hickory wood character.",Lot 408,90,15,Santa Ynez Valley,Central Coast,Cameron Hughes 2012 Lot 408 Syrah (Santa Ynez Valley),Syrah,Cameron Hughes,37.7667656,-122.4024757
10647,US,"Very peppery even for Syrah. Marked also by intense blackberry jam flavors, it's a full-bodied, tannic bruiser, but one with brooding depth. Decant it a few hours before serving.",Bragger,87,20,Paso Robles,Central Coast,Wild Coyote 2009 Bragger Syrah (Paso Robles),Syrah,Wild Coyote,35.6576632,-120.762024
10682,US,"A somewhat volatile nose introduces a wine that has a powerfully oaky flavor, perhaps from the 30 months it spent in 50% new American barrels. It seems a bit overdone, and the fruit heads into dry, pruny flavors. It is seemingly already past its prime.",Montreux,84,30,Columbia Valley (WA),Columbia Valley,Des Voigne Cellars 2008 Montreux Syrah (Columbia Valley (WA)),Syrah,Des Voigne Cellars,47.7698365,-122.148055
10714,US,"Coming from the highest corner of the limestone-laden vineyard at 1,275 feet—with views of the entire Santa Ynez Valley—this gives off broad, approachable aromas of lit match, bacon fat, purple fruits, pepper and smoked meats. Though full of dried cherry and smoked blueberry flavors, it's leaner in texture, with acidity that keeps it fresh. Drink 2017–2025.",Block Six Purisima Mountain Vineyard,92,55,Santa Ynez Valley,Central Coast,Beckmen 2011 Block Six Purisima Mountain Vineyard Syrah (Santa Ynez Valley),Syrah,Beckmen,34.6465207,-120.1099183
10722,US,"This annually anticipated bottling offers a blend of Doug Margerum's top barrels from a variety of vineyards. In this vintage, aromas of baking spice and red fruit come with minty sagebrush lift. Herbs, from oregano to dried thyme, play a central role on the palate, with red cherry fruit and a tighter, tart plum skin finish, proving slightly lighter in style.",Über,92,50,Santa Barbara County,Central Coast,Margerum 2012 Über Syrah (Santa Barbara County),Syrah,Margerum,34.611136,-120.202758
10727,Canada,"Dark and silky, this bursts open with ripe plum and black cherry fruit. Streaks of smoke and iron run through, along with highlights of bright citrus. Sweet toast and dark chocolate flavors wrap up a long and most satisfying finish. Drink now through 2024.",Estate Grown,92,65,Okanagan Valley,,Painted Rock 2010 Estate Grown Syrah (Okanagan Valley),Syrah,Painted Rock,49.42869,-119.569274
10730,US,"The winemaker has said he makes Russian River Valley Pinot Noir to support his Syrah habit. Here he offers a compelling case in point, making a velvety, substantial 100% Syrah that's more elegant than overpowering. Mocha-kissed tannins play nicely with black and red berry fruit, providing a structure built to age, through 2021.",,91,29,Russian River Valley,Sonoma,Longboard 2011 Syrah (Russian River Valley),Syrah,Longboard,38.607774,-122.866714
10750,Italy,"Marchesale is an excellent Syrah with an inky, black appearance and intense aromas of blueberry, plum, prune, black pepper and crushed stone. The wine shows incredible richness and density and lasts long on the palate thanks to its firm, succulent tannins.",Marchesale,94,80,Toscana,,Terre del Marchesato 2007 Marchesale Syrah (Toscana),Syrah,Terre del Marchesato,43.214838,10.581393
10831,Australia,"Gemtree's Obsidian Shiraz ratchets up the intensity from its usual offerings, adding structure and richness to straight-ahead aromas and flavors of cherries, coffee and vanilla. The wood sticks out a little on the finish, so give it another year or two in the bottle, then drink it over the next 10.",Obsidian,90,50,McLaren Vale,,Gemtree 2004 Obsidian Shiraz (McLaren Vale),Shiraz,Gemtree,-35.1999486,138.6187767
10835,Australia,"Matured 18 months in French oak, this rich, velvety-textured Shiraz shows plenty of vanilla influence as a result. But there's also plenty of ripe blackberry fruit, and the overall impression is of a lush, fruity wine that would make a lovely steakhouse red.",Eight Songs,90,38,Barossa,,Peter Lehmann 2004 Eight Songs Shiraz (Barossa),Shiraz,Peter Lehmann,-34.5062769,138.967706
10901,Australia,"This is a meaty, dark-fruited Shiraz. Seductive notes of caramelized beef and brown sugar dominate, while the wine's texture is a bit coarse, turning astringent on the finish. Try in 2017.",The Bamboo Scrub Single Vineyard,90,85,McLaren Vale,,D'Arenberg 2010 The Bamboo Scrub Single Vineyard Shiraz (McLaren Vale),Shiraz,D'Arenberg,-35.1972164,138.5511368
